00000                    ^0┌──── ┌────┐ ┌────┐  │    │  │    │  │    /
00040                    ^1│     │    │ │    │  │    │  │    │  │   / 
00080                    ^2│     │    │ │    │  │    │  │    │  │  /  
000c0                    ^3│     │    │ │    │  ├────┤  │   /│  │_/   
00100                    ^4│     │    │ │    │  │    │  │  / │  │ \   
00140                    ^5│     │    │ │    │  │    │  │ /  │  │  \  
00180                    ^6│     │    │ │    │  │    │  │/   │  │   \ 
001c0                    ^7│     └────┘ │    │  │    │  │    │  │    \
00200                                                  ^0Версия 1.02
0023e                            ^6Нажми какую-нибудь кнопку
00274       ^02003 year, June,Sept                                         ^2by V.P.
004be                                        ^4Ты сдох.
004ef                                      ^2Ты победил.
00521            ^
0052d  │    │ ┌────┐ ┌────┐  ┌────┐     │    │ ┌────┐ │    │ ┌────┐
0056a  │    │ │      │    │  │          │    │ │    │ │    │ │    │
005a7  │    │ │      │    │  │           \  /  │    │ │    │ │    │
005e4  │   /│ │      │    │  │            \/   │    │ │    │ │    │
00621  │  / │ │      ├────┘  ├────        /\   │    │ ├────┤ │    │
0065e  │ /  │ │      │       │           /  \  ├────┤ │    │ ├────┤
0069b  │/   │ │      │       │          │    │ │    │ │    │ │    │
006d8  │    │ │      │       └────┘     │    │ │    │ │    │ │    │
00715                            ^6Нажми какую-нибудь кнопку
00acb  ^
00acd  Т^
00ad0  Ы ^
00ad4  С^
00ad7  У^
00ada  П^
00add  Е^
00ae0  Р ^
00ae4  Г^
00ae7  О^
00aea  П
01274  Не в этой жизни.
01285   - 
01289  ^2Это 
01290   # уровня
0129a  Сл:# Лв:# Жв:# Уд:#
012ae  Урон #-#
012b7  ^4Сломана челюсть  
012cb  ^4Сломана нога  
012dc  ^
012de  Здоровье #/#  
012ed  Точность #%
012f9  Точность 90% 
01307     Второй удар #%
01319  - # ударов,  Точность # удара #%
0133a  ^2Броня #    
0165f  7777
01664  ^2Ты 
0166a   # уровня - 
01677  ^2А зовут тебя: 
01688  ^6Сейчас у тебя # опыта, А для прокачки надо #
016b7  Сл:^
016bc  #^7 Лв:^
016c5  #^7 Жв:^
016ce  #^7 Уд:^
016d7  #
016d9  Феньки: 
016e2  ^1Крестик(Удача +2) 
016f7  ^1Кольцо "Гс"(Удача +1) 
01710  Мощные феньки: 
01720  ^1Кольцо "Пг"(Всё +1) 
01737  ^1Мега Кольцо(Всё +4) 
0174e  ^1Кольцо "Гп"(Самолечение) 
0176a  ^1У тебя есть мобильник
01782  ^1У тебя есть тёмные очки
0179c  ^1На тебе зоновская наколка
017b8  ^1У тебя есть пистолет
017cf  ^1 с гушителем
017de  ^1! патронов - #
017ef  ^6 А птронов-то мало 
01805  ^1.^4 Правда без патронов
0181f  ^
01821  Урон #-#    
0182e  ^1Бутсы(+1) 
0183b  ^4Бутсы 
01844  ^1Понтовые бутсы(Урон+2) 
0185e  ^1Кастет(+2) 
0186c  ^4Кастет 
01876  ^1Дубинка(+4)  
01886  ^4Дубинка 
01891  ^1Нож(+6) 
0189c  ^4Нож 
018a3  ^1Тесак(Урон+9) 
018b4  ^4Сломана челюсть  
018c8  ^1Зубная защита  
018da  ^4Сломана нога  
018eb  ^6Обдолбаный  
018fa  Здоровье #/#  
01909  Точность #%
01915  Точность 90% 
01923     Второй удар #%
01935  - # ударов,  Точность # удара #%
01956  ^2Броня #    
01964  ^4Abibas 
0196e  ^1Костюм Adidas(+2) 
01983  ^1Костюм Abibas(+1) 
01998  ^4Кожанка 
019a3  ^1Крутая кожанка(+4) 
019b9  ^1Кожанка(+2) 
019c8  Косяки #
019d1  Пиво #.#л.
019dc  ^4Пива нет
019e7  Бабки #
019ef  ^4Нету бабок
019fc  Хлам #
0248f  ^1Понтовость увеличивается: 
024ac  ^1Сила +1 
024b7  1
024b9  ^1Ловкость +1 
024c8  2
024ca  ^1Живучесть +1 
024da  3
024dc  ^1Удача +1 
024e8  4
024ea  ^6Сейчас у тебя # качков опыта. До слеующей прокачки надо #
028c7  h
028c9  mh
028cc  ^4Ты не можешь пить пиво из-за сломаной челюсти.
028fd  ^2Пиво прибавляет #з. 
02914  ^2Здоровья:#/#. Осталось #.#л. пива
02938  ^2Пиво прибавляет #з. Здоровья:#/#. Осталось #.#л. пива
02970  ^4Пива нету
0297c  ^6Блин только тупить не надо - и так здоровья до фига.
029b3  ^4Кончилось пиво
02c5e  Слышь Вась..
02c6b  ^4А чё ваще?
02c78  ^4Пацан ты из какого района?
02c95  А ты по пинкам суди!
02caa  ^4Эй мудак?!
02cb7  ^4Блин! это же 
02cc7  ^4 - известный 
02cd7  ^4Я МАНЬЯК!!!
02ce5  Рад познакомиться - 
02cfa  ^4Отдай кошелёк урод!
02d10  ^2Ну вот мы и встретились мудак!
02d31  ^4Чё те нада козёл?!
02d46  ^2Урыть тебя ублюдок!
02d5c  ^4Ну ты меня достал ща урою!
02d79  ^6Тут заходит настоящий ректор.
02d99  ^4Мудак! ты тупой дебил, думал что я идиот?
02dc5  ^2Я думаю ты сконил!
02dda  ^4Ну тада сдохни!
02dec  ^2Из-за твоей хорошей ловкости враг сможет пнуть тебя раз # вместо #
02e31  ^4Из-за хорошей ловкости врага ты сможешь пнуть его раз # вместо #
02e74  ^7Начинают собираться зрители
02e92  Зрители:^6Мочи его, мочи!
02eac  Зрители:^6Врежь ему!
02ec1  Зрители:^6Блин долго ты ещё будешь мудиться?
02eee  Зрители:^6Да вы только посмотрите на эти пинки!
02f1e  Зрители:^6Не подкачай 
02f35  , я на тебя трёшку поставил!
02f52  Зрители:^6Чё-тут за батва?
02f6d  Зрители:^6Я знаю вон того мудака, он уже нескольких запинал!
02faa  Зрители:^6Чё так слабо бьёшь?! Пинай сильнее!
02fd8  Зрители:^6Дерьмово дерётесь придурки
02ffd  ^2А ты: Заткнись мудак, а то щас тебя запинаю!
0302c  Зрители:^6Да, а помнишь мы вчера также одного пинали, пинали.. А потом подошла его братва..
03088  Зрители:^6Это чё реслинг?
030a2  Зрители:^6Двинь ему в рыло!
030be  Зрители:^6И куда менты смотрят?
030de  Зрители:^6Пинай!
030ef  Зрители:^6Врежь гаду!
03105  Зрители:^6Господа делайте ваши ставки!
0312c  Зрители:^6Ну чё там? Какой счет?
0314d  Зрители:^6Ну и кого там 
03166   ^6сегодня пинает?
03179  ^0Битва\
03182  k
03184  ^2Точный удар!!!
03195  ^2Не хило приложил!!!
031ab  ^2Двойной урон!!!
031bd  ^2Ты сломал врагу челюсть. ^4Враг: А! козёл!
031ea  ^2Ты сломал врагу ногу. ^4Враг: Ну что за урод!
0321a  ^2Ты пнул врага на #з. У него осталось #
03243  ^4Ты промазал
03251  ^2Из-за большой ловкости ты можешь пнуть ещё раз
03282  ^4Враг:Сдохни урод!!
03297  ^4Тебе не хило врезали!
032af  ^4Враг:Получи гнида!!
032c5  ^4Враг сломал тебе челюсть.
032e1  ^4Враг сломал тебе челюсть, даже защита не помогла.
03315  ^2Защита спасла твои кривые клыки.
03338  ^4Враг сломал тебе ногу.
03351  ^4Он пнул тебя на #з. У тебя осталось #
03379  ^2Враг промазал
03389  ^4Из-за большой ловкости враг может пнуть ещё раз
033bb  run
033bf  ^4Ректор: Кудa? Стоять! Бейся до конца трусливый урод!
033f6  ^4Ты не можешь убежать на сломаной ноге.
0341f  ^4Враг: Трусливый засранец! 
0343c  ^4Сила -1 
03447  ^4Ловкость -1 
03456  ^4Живучесть -1 
03466  ^4Удача -1 
03472  ^4Такого конявого непустят в местный притон!
0349f  ^4Враг: Засранец!
034b1  kos
034b5  ^4Ты не схавать колёса из-за сломаной челюсти.
034e4  ^2Колёса прибавляют #з. 
034fd  ^2Здоровья:#/#. Осталось # косяков
03520  ^2Колёса прибавляют #з. Здоровья:#/#. Осталось # косяков
03559  ^2Сила +2.
03564  ^4У тебя нет косяков
03579  ^6Ты неможешь схавать ещё один косяк.
0359f  s
035a1  sv
035a4  e
035a6  ^2Подошли пацаны - Ща начнется!
035c6  v
035c8  ^2Подошли пацаны - Ща начнется!.
035e9  ^4Ни кто не хочет за тебя впрягаться.
0360f  ^6Сначала надо скорешиться с местной гопотой.
0363d  ^6Тебе надо продержатся до подхода братвы # пинка.
03670  ^2Они уже здесь.
03681  ^2Врага отпинали на #з. У него осталось #
036ab  ^2Подошли пацаны.
036bd  ^2Твою подмогу отпинали.
036d6  ^4Подмоге надоело столько парится из-за мало понтового мудака
03714  f
03716  ^6Тельзя тут стрелять! Менты накроют!
0373c  ^2Ты выстрелил и ранил врага на #з. У него осталось #з., осталось патронов #
03789  ^2Это был хреновый выстрел.
037a5  ^6Чё за батва? Блин патроны кончились!
037cc  ^4Ты сдох. Ректор тебя замочил. Ты так и не доказал свою крутизну.
0380f  ^1Тебе повезло знакомые пацаны отвезли тебя в больницу а то бы ты сдох.
03857  ^4Ты сдох.
03862  ^1Ты замочил самого ректора!!! ТЫ САМЫЙ КРУТОЙ!!!
03894  ^1Вновь сила торжествует над интелектом.
038bd  ^1После этого сразу началась анархия и полный беспредел.
038f6  ^1И не стыдно тебе гоп чёртов?
03915  ^1А результат:
03924  ^1Ты замочил самого ректора!!!^6 о чёрт! да это ж не ректор был.
03965  ^6Это был проректор СУНЦа!
03980  ^2Враг сдох.
0398d  ^6За отпин врага ты получаешь # качков опыта
039ba  ^6Ты запинал слишком слабого мудака для увеличения понтовости
039f8  ^6Сейчас у тебя # качков опыта, А для прокачки надо #
03a2e  ^1Пиво победителю!
03a41  ^1Поновость улутшилась на столько, что тебе можно заходить в местный притон!
03a8e  ^1Оба на! Колечко! Вот свезло, так свезло!
03ab9  ^1Кольцо "Помоги Господи"
03ad3  ^1"Мега Кольцо"!
03ae4  ^1Ваще полезное кольцо "Господи помилуй"
03b0d  ^1Восст. жизни - 3, 5% - самозарост переломов
03b3b  ^1А у нарка был косячок
03b53  ^1Ты нашёл крестик: удача +2
03b70  ^1Ты нашёл кольцо "Господи спаси": удача +1
03b9c  ^1Ты нашёл мобилу
03bae  ^1Ты надыбал кастет(урон+2)
03bca  ^6Но у тебя есть более мощное оружие
03bef  ^1Ты отобрал у врага дубинку(урон+4)
03c14  ^1Ты нашёл тёмные очки.
03c2c  ^1Ты нашел ножик(урон+6).
03c46  ^6Но утебя есть тесак который круче.
03c6b  ^1Ты нашел тесак(урон+9)!!! - ужасное оружие.
03c99  ^2Ты отпинал этого мудака - пацаны этого незабудут. Понтовость улутшилась на #.
03ce9  ^6Ты получаешь # качков опыта за помощь
0584c  ^0Ну слушай, 
0585c   ^0,в чем тут батва
05870  ^0 Вначале ты должен выбрать свой характер.
0589c  ^0 Например 
058a9  :
058ab  ^0 Всего навыки в сумме составляют 12, а сила у тебя # - значит при получении
058f9  ^0 нового уровня понтовости # из 12 шансов что увеличиться сила. То же и с 
05945  ^0 остальными навыками. Шансы не меняются.
05970  ^0
05973  ^0 Сила - увеличивает урон, и довавляет 1 здоровья
